iTextNum,ItemCode,ItemType,ItemName,ItemPrice, HP, MP,Lv,LevleUp, AttackPoint, Defensive, Str, DEX, INT, InfoText
29, 602, 4, 허름한옷, 150, 0, 0, 0, 0, 0, 0, 15, 15, 15, " 오래된 옷 오래는 못입는다."
30, 603, 4, 나무갑옷, 300, 0, 0, 0, 0, 0, 0, 25, 25, 25, " 나무로 만든 갑옷 나무로 어떻게 만들었을까"
31, 604, 4, 철갑옷, 450, 0, 0, 0, 0, 0, 0, 35, 35, 35, " 철로 만든 갑옷 무겁다"
32, 605, 4, 강철갑옷, 650, 0, 0, 0, 0, 0, 0, 45, 45, 45, " 강철로 만든 갑옷 무겁다."
33, 606, 4, 최강의갑옷, 1000, 0, 0, 0, 0, 0, 0, 50, 50, 50, " 누가 뭐라 해도 최강 갑옷 딴딴 가볍"
34, 701, 5, 누더기바지, 100, 0, 0, 0, 0, 0, 0, 5, 5, 5, " 냄새가 나는 바지 오래는 못입는다."
35, 702, 5, 허름한바지, 150, 0, 0, 0, 0, 0, 0, 15, 15, 15, "오래된 바지 그나마 입을만하다."
36, 703, 5, 청바지, 350, 0, 0, 0, 0, 0, 0, 25, 25, 25, " 일할때 편한 바지 하지만 방어력은..."
37, 704, 5, 철바지, 400, 0, 0, 0, 0, 0, 0, 35, 35, 35, " 철로 만든 바지 움직이기 힘들다."
38, 705, 5, 강철바지, 600, 0, 0, 0, 0, 0, 0, 45, 45, 45, "강철로 만든 바지 움직이기 힘들다."
39, 706, 5, 최강의바지, 1000, 0, 0, 0, 0, 0, 0, 50, 50, 50, " 최.강.바.지."
40, 801, 6, 누더기신발, 300, 0, 0, 0, 0, 0, 0, 5, 5, 5,  끈과 천으로 만든 신발 내구도는..."
41, 802, 6, 허름한신발, 500, 0, 0, 0, 0, 0, 0,15, 15, 15,  " 허름한 신발 가볍다."
42, 803, 6, 고무신, 600, 0, 0, 0, 0, 0, 0, 25, 25, 25, "100강화 한듯한 고무신 가볍다."
43, 804, 6, 축복받은신발, 1000, 0, 0, 0, 0, 0, 0, 50, 50, 50, "신이 만든 신발! 신성스럽다."
